topic,title,content,source
Giải Trí,Những món đồ người thấp cần tránh xa,"Mặc cả bộ màu sắc sặc sỡ, nhiều họa tiết gây rối mắt cũng kém tôn dáng. Ảnh: TST Mặc cả bộ màu sắc sặc sỡ, nhiều họa tiết gây rối mắt cũng kém tôn dáng. Ảnh: TST Phong cách phối layer tạo ra nhiều lớp quần áo ngắn, dài khác nhau, khiến tổng thể thiếu liền mạch. Ảnh: SDM Phong cách phối layer tạo ra nhiều lớp quần áo ngắn, dài khác nhau, khiến tổng thể thiếu liền mạch. Ảnh: SDM",vnexpress
Giáo Dục,Điểm chuẩn xét tuyển kết hợp Trường Đại học Hà Nội năm 2022,"Theo đó, trường công nhận 1843 thí sinh đủ kiều kiện trúng tuyển (trừ điều kiện tốt nghiệp THPT) vào đại học hình thức chính quy diện xét tuyển thẳng, ưu tiên xét tuyển thẳng và phương thức xét tuyển kết hợp năm 2022. Trong đó: -  49 thí sinh trúng tuyển diện xét tuyển thẳng, ưu tiên xét tuyển thẳng; -  1794 thí sinh trúng tuyển theo phương thức xét tuyển kết hợp.",laodong
Giáo Dục,"Trường ĐH Công nghiệp TP HCM công bố điểm chuẩn học bạ, đánh giá năng lực","Với phương thức xét kết quả thi đánh giá năng lực, điểm chuẩn của nhiều ngành từ 800 trở lên, trong đó ngành kinh doanh quốc tế 900 điểm... Điểm chuẩn các ngành/chương trình đào tạo cụ thể: Với phương thức xét học bạ, 5 ngành có điểm chuẩn từ 28 trở lên, trong đó 2 ngành có điểm chuẩn cao nhất 28,50 là marketing, kinh doanh quốc tế. Điểm chuẩn cụ thể như sau:",nld
Thời Sự,Điện chia buồn nguyên Trưởng ban Đối ngoại Trung ương Đảng Cộng sản Cuba từ trần,"Được tin đồng chí José Ramón Balaguer Cabrera, sáng lập viên Đảng Cộng sản Cuba (PCC), nguyên Ủy viên Bộ Chính trị, nguyên Bí thư Trung ương Đảng, nguyên Trưởng Ban Đối ngoại Trung ương Đảng Cộng sản Cuba từ trần, Ban Chấp hành Trung ương Đảng ta đã gửi Điện chia buồn tới Ban Chấp hành Trung ương Đảng Cộng sản Cuba.",baoquocte
Xã Hội,"""Choáng"" với giá phòng ngủ trong hang hơn 60 triệu đồng/đêm tại Ninh Bình","Phòng nghỉ ""kỳ lạ"" này được quảng cáo rộng 25 m2, gồm 1 giường siêu lớn và 1 phòng tắm riêng. Trong ảnh, phòng nghỉ này nằm trong vách đá, ngoài đệm ngủ cỡ lớn còn có nhiều hạng mục như phòng tắm, nhà vệ sinh, bàn ghế và tủ đứng. Đáng chú ý là một số khu vực đã được lát gạch khá kiên cố, khó tránh khỏi tác động vào cảnh quan tự nhiên.",kenh14
Xã Hội,"ĐH Kinh tế Quốc dân công bố điểm chuẩn một số phương thức, cao nhất 28,33 điểm","Các thí sinh trúng tuyển theo phương thức này phải xác nhận nhập học trên hệ thống của Bộ GD-ĐT từ ngày 22/7 - 20/8. Sau khi xác nhận nhập học, thí sinh phải nhập học theo hình thức trực tuyến trên hệ thống của Trường từ ngày 10/8 đến 20/8. Quá thời hạn này, thí sinh không thực hiện yêu cầu trên coi như từ chối nhập học. Điểm chuẩn các ngành cụ thể như sau:",vov.vn
Giáo Dục,Điểm chuẩn học bạ các trường đại học nhảy vọt thế nào trong 3 năm qua? - Tuổi Trẻ Online,"Điểm chuẩn học bạ một số ngành nhảy vọt trong vài năm qua. Thống kê cho thấy, ngoại trừ một số ít ngành có điểm chuẩn trồi sụt, đại đa số các ngành đều có điểm chuẩn tăng dần đều trong 3 năm qua. Trong đó, một số ngành tăng đến 5, 7 điểm. Điểm chuẩn một số ngành tăng mạnh ở các trường như sau:  ",tuoitre.vn
Giáo Dục,"Thắc mắc về ngành Kinh doanh quốc tế, Cơ kỹ thuật - VnExpress","Em sinh năm 2004 và mới hoàn thành kỳ thi tốt nghiệp THPT. Hiện em phân vân giữa hai ngành Kinh doanh quốc tế và Cơ kỹ thuật. Em muốn được tư vấn về cơ hội việc làm của hai ngành này, các yêu cầu với sinh viên theo học (liệu có bắt buộc giỏi một môn nào đó không) để đưa ra lựa chọn phù hợp. Nhờ anh chị và mọi người hỗ trợ. Bi",vnexpress
Đời Sống,14 mẹo nhỏ nhưng lại giúp ích rất nhiều cho cuộc sống mà ai cũng nên biết,"Đôi khi, việc tiết kiệm thời gian và công sức cũng là một bí quyết để tận hưởng một cuộc sống thư thái và dễ chịu. Một số mẹo trong cuộc sống có thể khiến cuộc sống của chúng ta trở nên dễ dàng hơn rất nhiều, nhưng không phải ai cũng biết hoặc cũng có thể tự mình tìm ra những điều này. Không sao, giờ đã đến lúc thay đổi bản thân rồi đó các bạn ạ! Nguồn: Bright Side",soha
Giải Trí,Hôn nhân hạnh phúc bỏ qua bàn tán của Hà Thanh Xuân và 'Vua cá Koi',"Sau hơn 2 tháng về chung một nhà, ca sĩ Hà Thanh Xuân và 'vua cá Koi Việt Nam' Thắng Ngô có cuộc sống hôn nhân hạnh phúc, bỏ qua mọi lời bàn tán, dị nghị trước đó. Người chăm chỉ chia sẻ những hình ảnh ngọt ngào của cả hai là doanh nhân Thắng Ngô. Anh thậm chí còn đăng ảnh khóa môi vợ ngay giữa chốn đông người khi cả hai đi du lịch. ",vietnamnet.vn
Xã Hội,"Grab, Be và Gojek đang có mức chiết khấu và phụ thu những loại phí gì?","Các hãng xe công nghệ hàng đầu Việt Nam như Grab, Be, Gojek đều có phụ phí và đều gộp những khoản này vào giá cước. Sau đó, giữa tài xế đối tác và các hãng xe công nghệ này mới phân chia theo tỉ lệ phần trăm. Song mỗi hãng xe lại có tỉ lệ phân chia khác nhau và mức thu phụ phí cũng không thống nhất.",kenh14
Giải Trí,Sao Việt 16/7: Hình ảnh hiếm không có trên sóng của gia đình MC Lại Văn Sâm,"Sao Việt 16/7: Du lịch cùng nhau, đạo diễn Lại Bắc Hải Đăng - con trai MC Lại Văn Sâm ghi lại khoảnh khắc cả gia đình ""nhí nhố"", hạnh phúc bên nhau. ""Cuộc sống tươi đẹp cơ bản là phải cùng nhìn về một hướng nhưng nên lệch chút thì vui hơn"", Lại Bắc Hải đăng hài hước chia sẻ trên trang cá nhân. ",vietnamnet.vn
Giáo Dục,Chọn trường nào để học Công nghệ thông tin? - VnExpress,"Em vừa hoàn thành kỳ thi tốt nghiệp THPT và chuẩn bị đăng ký nguyện vọng xét tuyển đại học. Em định theo đuổi ngành Công nghệ thông tin nhưng học lực khó vào các trường top được. Hiện, em phân vân giữa hai trường là Đại học Công nghệ Sài Gòn và Đại học Công nghiệp TP HCM. Mọi người cho em lời khuyên để em có thể đưa ra lựa chọn phù hợp với ạ. Minh Hoàng",vnexpress
Giáo Dục,Đáp án môn Toán kỳ thi tốt nghiệp THPT 2022,"Theo nhận định của các giáo viên, đề thi Toán trong kỳ thi tốt nghiệp THPT năm 2022 có mức độ khó với đa số thí sinh, nhất là các bạn lực học trung bình khá, có chút khó khăn, thiệt thòi khi học tập trong điều kiện dịch bệnh không thuận lợi. Đáp án môn Toán tại đây.",tienphong
Đời Sống,Những sự thật thú vị chứng minh Nhật Bản khác biệt với tất cả các quốc gia khác,"Nhật Bản cũng là một quốc gia đáng kinh ngạc, trong đó truyền thống từ quá khứ được kết hợp lý tưởng với tiến bộ khoa học và công nghệ. Nhật Bản còn được biết đến là một quần đảo của núi lửa. Hiện tại đang có 186 núi lửa đang hoạt động và 6.852 hòn đảo lớn nhỏ. Dưới đây là những sự thật thú vị chứng minh Nhật Bản khác biệt với tất cả các quốc gia khác:",soha
Giải Trí,Dàn người đẹp Hoa hậu các dân tộc Việt Nam khoe body nóng bỏng với bikini,"Sau thời gian không ngừng tập luyện, trau dồi kỹ năng, dàn thí sinh Hoa hậu các dân tộc Việt Nam 2022 thể hiện rõ sự trưởng thành, phong thái tự tin và kiểm soát tốt ngôn ngữ hình thể trước ống kính. Top 30 vừa thực hiện bộ ảnh áo tắm nóng bỏng trước khi bước vào đêm chung kết căng thẳng.",thanhnien.vn
Giải Trí,"Sao Việt 14/7: Công Lý ngồi xe lăn, Bảo Thanh tình cảm bên chồng","Sao Việt 14/7: Đăng ảnh Công Lý hoá thân vào người chồng bệnh tật phải ngồi xe lăn, Vân Dung còn vui vẻ làm thơ: ""Chồng em chân ngắn, nhiều lông/ Da ngăm rám nắng chứ không mịn màng/ Chân ngắn nên mới vững vàng/ Không nghiêng ngả trước những nàng hotgirl"". ",vietnamnet.vn
Giáo Dục,Các trường có ngành Kế toán ở Hà Nội và điểm chuẩn 2 năm qua,"Ở Hà Nội, có khá nhiều trường đại học đào tạo ngành Kế toán, từ các trường top đầu như: Đại học Ngoại thương, Đại học Kinh tế Quốc dân, Học viện Tài chính… Điểm chuẩn ngành Kế toán của các trường đại học có ngành Kế toán ở Hà Nội thường phụ thuộc vào độ ""hot"" của trường do sự canh tranh đầu vào, cũng như uy tín đào tạo của các trường này.",danviet
Giáo Dục,Không giỏi Toán có thể học Kỹ thuật phần mềm?,"Nếu không giỏi Toán mà ""đâm đầu"" theo Kỹ thuật phần mềm, em không biết mình có chọn sai không. Gia đình em bảo phải giỏi hết Toán, Lý, Hóa mới có thể học các chuyên ngành về Công nghệ thông tin. Em phân vân nên đang tìm hiểu thêm về các ngành khác như Thiết kế đồ họa, Quản trị du lịch và lữ hành. Mọi người hãy tư vấn giúp em với. Song Trinh",vnexpress
Giáo Dục,Bộ Giáo dục và đào tạo công bố đáp án môn ngữ văn của kỳ thi tốt nghiệp THPT năm 2022,"Theo quy định của Bộ Giáo dục và đào tạo, các hội đồng chấm thi tự luận phải họp để chấm chung một số bài, nhằm thống nhất hướng dẫn chấm. Sau đó, việc chấm thi sẽ triển khai theo 2 vòng độc lập. Trường hợp điểm bài thi giữa hai giám khảo chấm ở 2 vòng độc lập vênh nhau sẽ phải đối thoại để đi tới thống nhất. Dự kiến ngày 24-7 sẽ công bố điểm thi tốt nghiệp THPT năm nay.",tuoitre.vn
Thời Sự,Công viên Phù Đổng hoang tàn trên bờ biển Nha Trang,"Theo đó, UBND tỉnh Khánh Hòa giao TP.Nha Trang tiếp tục có văn bản yêu cầu Công ty TNHH Invest Park Nha Trang cung cấp hồ sơ, tài liệu phục vụ công tác bàn giao phần diện tích đất hơn 21.777 m2 tại bờ biển Nha Trang; đồng thời ấn định thời gian yêu cầu hoàn thành việc cung cấp hồ sơ, bàn giao mặt bằng khu đất nói trên theo đúng quy định pháp luật.",thanhnien.vn
Giáo Dục,Gợi ý đáp án môn Tiếng Anh tốt nghiệp THPT 2022,Các thí sinh đã hoàn tất bài thi Ngoại ngữ trong chiều 8/7. Tiếng Anh là 1 trong 7 môn thi của bài thi này. Dưới đây là gợi ý đáp án môn Tiếng Anh từ Tuyensinh247 và hệ thống giáo dục Học mãi:  * Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo! Từ khóa:,vtv.vn
Giáo Dục,Gợi ý đáp án môn Địa lý tốt nghiệp THPT 2022,"Các thí sinh đã hoàn tất bài thi Khoa học Xã hội trong sáng 8/7. Trong đó, môn Địa lý là môn thi thứ hai, thời gian làm bài 50 phút. Gợi ý đáp án môn Địa lý từ Tuyensinh247: (Tiếp tục cập nhật) * Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo! Từ khóa:",vtv.vn
Giáo Dục,Chọn ngành mình thích hay theo định hướng gia đình? - VnExpress,"Em năm nay thi đại học khối A00. Em khá hứng thú với các ngành như designer, marketing và có khả năng sáng tạo, trí tưởng tượng phong phú... nhưng học phí khá cao với em. Trong khi đó, mẹ em định hướng học kinh tế. Em mong được mọi người cho ý kiến và tư vấn. Vanasi Nguyen",vnexpress
Giáo Dục,Kỷ luật người đứng đầu NXB Giáo dục Việt Nam vì sai phạm liên quan sách giáo khoa,"Theo đó ông Nguyễn Đức Thái có khuyết điểm, vi phạm chính sách pháp luật của Nhà nước trong chỉ đạo Nhà xuất bản Giáo dục Việt Nam tổ chức thực hiện sản xuất, kinh doanh, biên soạn, in ấn, kê khai, phát hành sách giáo khoa mới. Đồng thời, thiếu trách nhiệm trong lãnh đạo, chỉ đạo Đảng ủy, Ủy ban Kiểm tra Đảng ủy kiểm tra, giám sát việc tổ chức thực hiện các nghị quyết...",tienphong
Giáo Dục,Ngành Blockchain cần các kỹ năng gì?,"Em là sinh viên năm nhất ngành hệ thống thông tin, Đại học Bách khoa Hà Nội, và định hướng trở thành Blockchain Developer. Em đang phân vân tiềm năng phát triển, cũng như các kỹ năng cần có để theo được mảng này. Em mong được các anh, chị trong ngành tư vấn.",vnexpress
Giáo Dục,Thử trí nhớ về tác giả những bài thơ nổi tiếng,"Câu 1: Tác phẩm Việt Bắc với những câu thơ sau là sáng tác của ai? Mình về mình có nhớ ta?
Mười lăm năm ấy thiết tha mặn nồng.
Mình về mình có nhớ không
Nhìn cây nhớ núi, nhìn sông nhớ nguồn? a. Tố Hữu b. Sóng Hồng c. Nguyễn Đình Thi Lê Nam (tổng hợp)",vnexpress
Xã Hội,"Lai Châu: 60 cán bộ, chiến sĩ và dân quân giúp nhân dân khắc phục hậu quả mưa lũ","  Nhận được báo cáo, Bộ Chỉ huy quân sự tỉnh Lai Châu đã chỉ đạo Ban Chỉ huy quân sự huyện Mường Tè, tham mưu cho UBND huyện Mường Tè, điều động 60 dân quân và lực lượng thường trực giúp nhân dân di dời người và tài sản đến nơi an toàn, khắc phục hậu quả ngập úng và vệ sinh môi trường. Tin, ảnh: HÀ KHÁNH - NGUYỄN CHÍNH",qdnd.vn
Xã Hội,Dông lốc khiến nhiều ngôi nhà bị hư hại ở Bắc Kạn,"2 lớp học và 1 nhà công vụ của giáo viên cũng bị hư hại khá nghiêm trọng. Nhiều diện tích hoa màu, cây trồng cũng bị gãy đổ. Một người dân bị thương nhẹ do cây đổ khi đang di chuyển trên đường. Chính quyền địa phương và người dân đã khẩn trương hỗ trợ các hộ nhà bị hư hại vận chuyển, bảo quản đồ đạc, di dời tạm đến nơi an toàn và khẩn trương khắc phục, sửa chữa nhà cửa, ổn định cuộc sống./.",vov.vn
Thời Sự,Lùm xùm tại dự án Sông Lô: Thanh tra Chính phủ yêu cầu xử lý dứt điểm,"Phó thủ tướng Chính phủ Lê Minh Khái vừa có văn bản yêu cầu Thanh tra Chính phủ (TTCP) chủ trì phối hợp với Bộ TN-MT, UBND tỉnh Khánh Hòa và một số cơ quan làm rõ nội dung liên quan đến dự án Khu du lịch và giải trí Sông Lô (nay là tổ hợp du lịch Diamond Bay resort & spa Nha Trang, gọi tắt là dự án Sông Lô; ở xã Phước Đồng, TP.Nha Trang); báo cáo Thủ tướng Chính phủ trước ngày 15.7.2022.",thanhnien.vn
Giải Trí,"Thương ngày nắng về: ""Bóc giá"" thời trang sinh viên của cô út Vân Vân","Là em út trong gia đình ba chị em gái, Vân Vân có tính cách nhí nhảnh với phong cách tối giản, năng động. Lấy cảm hứng từ hình ảnh của những cô sinh viên ở đời thường, Khúc Mạnh Quân chuẩn bị cho Ngọc Huyền khoảng 150 món đồ để mix match, chủ yếu đến từ các thương hiệu trong nước hoặc trên các sàn thương mại điện tử để đảm bảo mức giá bình dân.",baoquocte
Giải Trí,Sao Việt 5/7: Việt Anh mong Hồng Diễm là người vợ cuối cùng," Sao Việt 5/7: Diễn viên Việt Anh sắp kết hợp với Hồng Diễm trong phim mới, còn gọi là vợ tốt: ""Thấy bảo đây là người vợ tốt, hy vọng đây sẽ là người vợ cuối cùng của 6 tháng cuối năm nay, không thêm người vợ nào nữa, mệt lắm rồi đấy"", nam diễn viên viết trên trang cá nhân.",vietnamnet.vn
Giáo Dục,Học trường chuyên hay không chuyên để làm cảnh sát?,"Em sắp lên lớp 9 và đang xây dựng một số định hướng thi vào lớp 10. Em phân vân giữa việc thi vào trường THPT chuyên hay học trường không chuyên. Em nghĩ nếu học trường chuyên, cơ hội vào trường Cảnh sát là thấp bởi điểm học bạ của em khó mà cao được. Còn ở trường không chuyên, em lại thấy chất lượng đào tạo không bằng trường chuyên.. Mong được mọi người tư vấn ạ. Phương Thảo",vnexpress
Giải Trí,"Ninh Dương Lan Ngọc, Lê Xuân Tiền ăn mặc đồng điệu","Ninh Dương Lan Ngọc và Lê Xuân Tiền là cặp đôi đẹp của màn ảnh rộng. Mới đây, họ tái ngộ trong loạt ảnh thời trang mới, diện các thiết kế mới của NTK Đỗ Mạnh Cường. Anh đặt dệt, nhuộm riêng để có được chất liệu, màu sắc riêng, ưng ý cho bộ sưu tập lần này. Ảnh: Milor Trần ",vietnamnet.vn
Thời Sự,Lãnh đạo Việt Nam gửi điện mừng Quốc khánh Hợp chúng quốc Hoa Kỳ,"Nhân dịp này, Chủ tịch Quốc hội Vương Đình Huệ đã gửi điện mừng tới Chủ tịch Thượng viện Hợp chúng quốc Hoa Kỳ Kamala Harris và Chủ tịch Hạ viện Hợp chúng quốc Hoa Kỳ Nancy Pelosi. Cùng ngày, Bộ trưởng Ngoại giao Bùi Thanh Sơn đã gửi điện mừng tới Ngoại trưởng Hợp chúng quốc Hoa Kỳ Antony Blinken.",baoquocte
Thời Sự,Thủ tướng chủ trì Hội nghị trực tuyến Chính phủ với địa phương,"Hội nghị và phiên họp được kết nối trực tuyến tới UBND các tỉnh, thành phố trực thuộc Trung ương. Cùng tham dự Hội nghị và phiên họp tại điểm cầu Chính phủ có các Phó Thủ tướng Chính phủ: Phạm Bình Minh, Lê Minh Khái, Vũ Đức Đam, Lê Văn Thành; Phó Chủ tịch nước Võ Thị Ánh Xuân; các thành viên Chính phủ; Trợ lý Tổng Bí thư Đinh Văn Ân.",vietnamnet.vn
Giáo Dục,Gần 50 trường ĐH công bố điểm chuẩn xét tuyển các phương thức riêng,"Điểm chuẩn cụ thể của các trường như sau: Các trường khu vực phía Bắc: Theo quy định của Quy chế năm nay, các trường không được gửi giấy báo nhập học sớm. Tất cả các phương thức xét tuyển phải được thí sinh đăng ký trên cổng tuyển sinh của Bộ GD&ĐT. Tiền Phong tiếp tục cập nhật danh sách các trường.",tienphong
Giải Trí,Sao Việt 2/7: Ngọc Huyền được ông xã tặng hoa đô la mừng sinh nhật,"Sao Việt 2/7:  NSƯT Ngọc Huyền chia sẻ loạt ảnh mừng tuổi mới bên người thân trong gia đình. Trong ngày sinh nhật thứ 52, cô đào đình đám của sân khấu cải lương khoe dung mạo ngày càng trẻ trung, xinh đẹp và phong cách ăn mặc cực nữ tính. Nữ nghệ sĩ được nhận xét là ""lão hóa ngược"" vì biết cách chăm sóc dung nhan rất tốt.",vietnamnet.vn
Đời Sống,Tháng 7 từ miền Nam ghé thăm làng Sen quê Bác,"Đó là khu di tích lịch sử Kim Liên tại xã Kim Liên, H.Nam Đàn, tỉnh Nghệ An với nhà tưởng niệm Chủ tịch Hồ Chí Minh cùng di tích nhà cụ Phó bảng Nguyễn Sinh Sắc (thân sinh Bác Hồ). Lần đầu tiên đến với mảnh đất đã sinh thành và nuôi lớn một bậc vĩ nhân, đã giúp tôi như hiểu và yêu thêm cuộc đời, trái tim vĩ đại của Người.",thanhnien.vn
